Time;Что-то
27.07.2022 15:15;718
27.07.2022 15:30;665
27.07.2022 15:45;637
27.07.2022 16:00;661
27.07.2022 16:15;668
27.07.2022 16:30;687
27.07.2022 16:45;692
27.07.2022 17:00;640
27.07.2022 17:15;680
27.07.2022 17:30;678
27.07.2022 17:45;632
27.07.2022 18:00;661
27.07.2022 18:15;653
27.07.2022 18:30;560
27.07.2022 18:45;580
27.07.2022 19:00;614
27.07.2022 19:15;604
27.07.2022 19:30;604
27.07.2022 19:45;529
27.07.2022 20:00;475
27.07.2022 20:15;478
27.07.2022 20:30;447
27.07.2022 20:45;446
27.07.2022 21:00;619
27.07.2022 21:15;504
27.07.2022 21:30;206
27.07.2022 21:45;154
27.07.2022 22:00;130
27.07.2022 22:15;80
27.07.2022 22:30;38
27.07.2022 22:45;37
27.07.2022 23:00;23
27.07.2022 23:15;
27.07.2022 23:30;
27.07.2022 23:45;
28.07.2022 0:00;
28.07.2022 0:15;
28.07.2022 0:30;
28.07.2022 0:45;
28.07.2022 1:00;
28.07.2022 1:15;1
28.07.2022 1:30;1
28.07.2022 1:45;2
28.07.2022 2:00;3
28.07.2022 2:15;3
28.07.2022 2:30;10
28.07.2022 2:45;16
28.07.2022 3:00;14
28.07.2022 3:15;13
28.07.2022 3:30;28
28.07.2022 3:45;39
28.07.2022 4:00;36
28.07.2022 4:15;36
28.07.2022 4:30;48
28.07.2022 4:45;53
28.07.2022 5:00;50
28.07.2022 5:15;77
28.07.2022 5:30;106
28.07.2022 5:45;92
28.07.2022 6:00;83
28.07.2022 6:15;106
28.07.2022 6:30;110
28.07.2022 6:45;111
28.07.2022 7:00;122
28.07.2022 7:15;128
28.07.2022 7:30;139
28.07.2022 7:45;152
28.07.2022 8:00;160
28.07.2022 8:15;205
28.07.2022 8:30;248
28.07.2022 8:45;259
28.07.2022 9:00;275
28.07.2022 9:15;350
28.07.2022 9:30;463
28.07.2022 9:45;478
28.07.2022 10:00;486
28.07.2022 10:15;642
28.07.2022 10:30;739
28.07.2022 10:45;683
28.07.2022 11:00;672
28.07.2022 11:15;690
28.07.2022 11:30;706
28.07.2022 11:45;724
28.07.2022 12:00;770
28.07.2022 12:15;764
28.07.2022 12:30;751
28.07.2022 12:45;802
28.07.2022 13:00;818
28.07.2022 13:15;780
28.07.2022 13:30;735
28.07.2022 13:45;774
28.07.2022 14:00;794
28.07.2022 14:15;713
28.07.2022 14:30;678
28.07.2022 14:45;743
28.07.2022 15:00;742
28.07.2022 15:15;680
28.07.2022 15:30;650
28.07.2022 15:45;670
28.07.2022 16:00;713
28.07.2022 16:15;721
28.07.2022 16:30;675
28.07.2022 16:45;669
28.07.2022 17:00;640
28.07.2022 17:15;625
28.07.2022 17:30;687
28.07.2022 17:45;707
28.07.2022 18:00;705
28.07.2022 18:15;667
28.07.2022 18:30;616
28.07.2022 18:45;673
28.07.2022 19:00;720
28.07.2022 19:15;626
28.07.2022 19:30;610
28.07.2022 19:45;638
28.07.2022 20:00;620
28.07.2022 20:15;528
28.07.2022 20:30;403
28.07.2022 20:45;347
28.07.2022 21:00;315
28.07.2022 21:15;274
28.07.2022 21:30;231
28.07.2022 21:45;199
28.07.2022 22:00;143
28.07.2022 22:15;83
28.07.2022 22:30;30
28.07.2022 22:45;2
28.07.2022 23:00;
28.07.2022 23:15;
28.07.2022 23:30;
28.07.2022 23:45;
29.07.2022 0:00;
29.07.2022 0:15;
29.07.2022 0:30;
29.07.2022 0:45;
29.07.2022 1:00;
29.07.2022 1:15;
29.07.2022 1:30;1
29.07.2022 1:45;4
29.07.2022 2:00;6
29.07.2022 2:15;7
29.07.2022 2:30;16
29.07.2022 2:45;16
29.07.2022 3:00;7
29.07.2022 3:15;15
29.07.2022 3:30;23
29.07.2022 3:45;29
29.07.2022 4:00;32
29.07.2022 4:15;32
29.07.2022 4:30;44
29.07.2022 4:45;49
29.07.2022 5:00;40
29.07.2022 5:15;43
29.07.2022 5:30;58
29.07.2022 5:45;83
29.07.2022 6:00;96
29.07.2022 6:15;83
29.07.2022 6:30;78
29.07.2022 6:45;98
29.07.2022 7:00;119
29.07.2022 7:15;103
29.07.2022 7:30;118
29.07.2022 7:45;152
29.07.2022 8:00;150
29.07.2022 8:15;199
29.07.2022 8:30;277
29.07.2022 8:45;310
29.07.2022 9:00;287
29.07.2022 9:15;253
29.07.2022 9:30;348
29.07.2022 9:45;483
29.07.2022 10:00;513
29.07.2022 10:15;556
29.07.2022 10:30;709
29.07.2022 10:45;777
29.07.2022 11:00;748
29.07.2022 11:15;779
29.07.2022 11:30;733
29.07.2022 11:45;697
29.07.2022 12:00;750
29.07.2022 12:15;735
29.07.2022 12:30;744
29.07.2022 12:45;822
29.07.2022 13:00;796
29.07.2022 13:15;774
29.07.2022 13:30;768
29.07.2022 13:45;628
29.07.2022 14:00;677
29.07.2022 14:15;786
29.07.2022 14:30;754
29.07.2022 14:45;830
29.07.2022 15:00;798
29.07.2022 15:15;736
29.07.2022 15:30;745
29.07.2022 15:45;733
29.07.2022 16:00;701
29.07.2022 16:15;676
29.07.2022 16:30;645
29.07.2022 16:45;646
29.07.2022 17:00;692
29.07.2022 17:15;683
29.07.2022 17:30;659
29.07.2022 17:45;661
29.07.2022 18:00;733
29.07.2022 18:15;709
29.07.2022 18:30;663
29.07.2022 18:45;668
29.07.2022 19:00;731
29.07.2022 19:15;779
29.07.2022 19:30;618
29.07.2022 19:45;568
29.07.2022 20:00;640
29.07.2022 20:15;538
29.07.2022 20:30;415
29.07.2022 20:45;389
29.07.2022 21:00;358
29.07.2022 21:15;263
29.07.2022 21:30;203
29.07.2022 21:45;182
29.07.2022 22:00;151
29.07.2022 22:15;103
29.07.2022 22:30;39
29.07.2022 22:45;9
29.07.2022 23:00;3
29.07.2022 23:15;
29.07.2022 23:30;1
29.07.2022 23:45;1
30.07.2022 0:00;
30.07.2022 0:15;
30.07.2022 0:30;1
30.07.2022 0:45;1
30.07.2022 1:00;
30.07.2022 1:15;1
30.07.2022 1:30;4
30.07.2022 1:45;4
30.07.2022 2:00;2
30.07.2022 2:15;2
30.07.2022 2:30;5
30.07.2022 2:45;5
30.07.2022 3:00;6
30.07.2022 3:15;18
30.07.2022 3:30;24
30.07.2022 3:45;25
30.07.2022 4:00;32
30.07.2022 4:15;43
30.07.2022 4:30;59
30.07.2022 4:45;47
30.07.2022 5:00;37
30.07.2022 5:15;55
30.07.2022 5:30;72
30.07.2022 5:45;92
30.07.2022 6:00;83
30.07.2022 6:15;85
30.07.2022 6:30;102
30.07.2022 6:45;111
30.07.2022 7:00;111
30.07.2022 7:15;110
30.07.2022 7:30;127
30.07.2022 7:45;139
30.07.2022 8:00;156
30.07.2022 8:15;200
30.07.2022 8:30;231
30.07.2022 8:45;254
30.07.2022 9:00;285
30.07.2022 9:15;321
30.07.2022 9:30;400
30.07.2022 9:45;453
30.07.2022 10:00;479
30.07.2022 10:15;537
30.07.2022 10:30;613
30.07.2022 10:45;693
30.07.2022 11:00;711
30.07.2022 11:15;732
30.07.2022 11:30;751
30.07.2022 11:45;789
30.07.2022 12:00;798
30.07.2022 12:15;707
30.07.2022 12:30;710
30.07.2022 12:45;891
30.07.2022 13:00;921
30.07.2022 13:15;729
30.07.2022 13:30;722
30.07.2022 13:45;766
30.07.2022 14:00;740
30.07.2022 14:15;794
30.07.2022 14:30;782
30.07.2022 14:45;688
30.07.2022 15:00;662
30.07.2022 15:15;680
30.07.2022 15:30;696
30.07.2022 15:45;672
30.07.2022 16:00;622
30.07.2022 16:15;708
30.07.2022 16:30;689
30.07.2022 16:45;556
